timestamp_sec,flow_id,cpu_req,ram_req,msd_req,is_ddos_spike,service_type,priority
3355.3,FLOW_33553,30.01,21.42,3,1,Attack,4
942.7,FLOW_9427,3.03,0.76,2,0,Data,1
19.9,FLOW_199,21.71,19.47,4,0,Video,3
1244.7,FLOW_12447,2.5,0.63,2,0,Data,1
3948.9,FLOW_39489,15.59,4.86,2,0,Data,1
4272.4,FLOW_42724,6.03,2.44,1,0,Data,1
1082.2,FLOW_10822,20.47,14.15,3,0,Data,2
4949.8,FLOW_49498,56.04,20.79,4,1,Attack,5
414.4,FLOW_4144,5.69,1.57,2,0,Data,1
3695.8,FLOW_36958,68.03,25.63,4,1,Attack,5
4310.6,FLOW_43106,53.42,20.86,4,1,Attack,5
3869.5,FLOW_38695,3.59,0.5,2,0,Data,1
618.8,FLOW_6188,5.09,2.97,2,0,IoT,1
141.4,FLOW_1414,7.25,0.92,2,0,Data,1
1847.1,FLOW_18471,5.31,2.59,1,0,Data,1
2928.2,FLOW_29282,86.82,37.24,4,1,Attack,5
1517.7,FLOW_15177,3.24,3.74,1,0,Data,1
3430.4,FLOW_34304,14.82,2.71,2,0,Data,1
1260.9,FLOW_12609,5.14,1.43,2,0,Data,1
1214.4,FLOW_12144,20.45,12.49,4,0,Video,3
611.3,FLOW_6113,5.0,2.41,1,0,IoT,1
1590.8,FLOW_15908,14.28,4.26,2,0,Data,1
82.1,FLOW_821,5.7,0.81,2,0,Data,1
1511.8,FLOW_15118,14.07,2.7,1,0,Data,1
1346.6,FLOW_13466,10.56,2.49,2,0,VoIP,4
2649.7,FLOW_26497,10.03,1.85,2,0,Data,1
4211.1,FLOW_42111,68.89,25.91,3,1,Attack,5
3018.8,FLOW_30188,6.06,1.77,1,0,Data,1
3723.7,FLOW_37237,16.96,6.61,2,0,Data,1
3310.9,FLOW_33109,6.46,1.68,1,0,Data,1
3648.0,FLOW_36480,13.13,5.46,2,0,Data,1
2414.8,FLOW_24148,11.84,1.35,1,0,Data,1
550.3,FLOW_5503,1.14,0.84,2,0,Data,1
391.8,FLOW_3918,4.0,1.77,2,0,IoT,1
3847.8,FLOW_38478,19.25,9.43,2,0,Data,1
2112.3,FLOW_21123,34.63,23.62,3,1,Attack,4
4971.7,FLOW_49717,69.12,25.83,4,1,Attack,5
4229.4,FLOW_42294,5.38,1.5,2,0,Data,1
4760.9,FLOW_47609,60.49,22.76,3,1,Attack,5
1107.6,FLOW_11076,22.93,20.64,3,0,Video,3
4151.4,FLOW_41514,19.73,7.15,1,0,Data,1
2206.2,FLOW_22062,33.12,15.66,3,0,Video,3
941.3,FLOW_9413,14.17,9.09,3,0,Data,2
3834.0,FLOW_38340,79.61,30.35,4,1,Attack,5
3026.3,FLOW_30263,24.97,17.57,4,0,Video,3
4125.2,FLOW_41252,19.67,7.69,2,0,Data,1
1464.4,FLOW_14644,4.55,1.78,1,0,Data,1
2633.5,FLOW_26335,8.33,1.16,2,0,Data,1
2810.2,FLOW_28102,1.19,4.51,2,0,Data,1
1752.3,FLOW_17523,5.44,1.55,1,0,Data,1
2471.2,FLOW_24712,11.0,0.79,1,0,Data,1
4048.5,FLOW_40485,78.36,32.72,4,1,Attack,5
385.0,FLOW_3850,93.14,47.95,5,1,Attack,5
4004.0,FLOW_40040,16.02,6.05,2,0,Data,1
1526.7,FLOW_15267,14.64,1.63,2,0,Data,1
4914.6,FLOW_49146,80.2,32.12,4,1,Attack,5
3000.1,FLOW_30001,4.47,2.97,1,0,Data,1
4592.6,FLOW_45926,62.92,24.3,4,1,Attack,5
4382.4,FLOW_43824,88.63,36.19,4,1,Attack,5
1724.0,FLOW_17240,1.32,0.65,2,0,Data,1
489.2,FLOW_4892,38.27,23.31,3,0,Video,3
72.5,FLOW_725,40.43,14.55,4,0,Video,3
2294.9,FLOW_22949,4.41,3.46,2,0,Data,1
3465.7,FLOW_34657,13.71,2.71,2,0,Data,1
3721.3,FLOW_37213,17.24,7.94,2,0,Data,1
2030.4,FLOW_20304,35.09,27.08,3,1,Attack,4
1526.9,FLOW_15269,8.73,4.79,1,0,Data,1
2236.7,FLOW_22367,1.7,1.4,1,0,Data,1
4268.4,FLOW_42684,18.2,5.47,2,0,Data,1
4673.4,FLOW_46734,11.8,2.91,2,0,Data,1
1173.2,FLOW_11732,5.09,2.5,1,0,Data,1
1861.9,FLOW_18619,26.63,13.21,4,0,Video,3
4849.2,FLOW_48492,18.89,8.56,2,0,Data,1
2680.3,FLOW_26803,4.72,2.76,1,0,Data,1
4430.5,FLOW_44305,17.77,6.74,2,0,Data,1
4752.2,FLOW_47522,19.1,7.89,2,0,Data,1
3220.7,FLOW_32207,5.76,1.92,2,0,Data,1
253.0,FLOW_2530,66.87,47.66,5,1,Attack,5
1774.6,FLOW_17746,5.12,1.35,2,0,Data,1
827.0,FLOW_8270,39.41,10.01,3,0,Video,3
1507.9,FLOW_15079,6.32,1.43,2,0,Data,1
1362.4,FLOW_13624,7.59,2.53,1,0,IoT,1
3063.8,FLOW_30638,3.04,5.86,1,0,Data,1
3044.0,FLOW_30440,12.11,5.92,2,0,Data,1
3605.6,FLOW_36056,73.1,29.32,4,1,Attack,5
4265.1,FLOW_42651,7.41,3.81,1,0,Data,1
3680.3,FLOW_36803,69.71,29.02,4,1,Attack,5
4822.4,FLOW_48224,19.02,6.64,1,0,Data,1
2922.6,FLOW_29226,44.36,8.88,3,0,Video,3
563.3,FLOW_5633,6.09,2.14,2,0,Data,1
598.7,FLOW_5987,9.66,2.49,2,0,VoIP,4
4806.3,FLOW_48063,14.14,7.49,1,0,Data,1
181.2,FLOW_1812,1.88,0.93,1,0,IoT,1
2757.8,FLOW_27578,24.81,18.18,3,0,Video,3
1682.3,FLOW_16823,12.07,2.73,1,0,Data,1
392.8,FLOW_3928,3.02,1.95,2,0,Data,1
3728.6,FLOW_37286,1.57,0.5,1,0,Data,1
2504.5,FLOW_25045,1.19,5.57,2,0,Data,1
1572.7,FLOW_15727,2.11,3.15,2,0,Data,1
2960.0,FLOW_29600,3.82,1.06,1,0,Data,1
1043.0,FLOW_10430,10.32,1.02,3,0,VoIP,4
2576.8,FLOW_25768,27.37,10.97,3,0,Video,3
2910.3,FLOW_29103,12.23,2.02,1,0,Data,1
3653.7,FLOW_36537,74.51,31.1,4,1,Attack,5
3932.8,FLOW_39328,62.14,24.76,4,1,Attack,5
3553.9,FLOW_35539,6.48,3.64,2,0,Data,1
2807.5,FLOW_28075,4.28,5.48,1,0,Data,1
1784.0,FLOW_17840,22.21,8.77,4,0,Video,3
2780.2,FLOW_27802,5.04,2.41,2,0,Data,1
768.2,FLOW_7682,23.18,15.35,3,0,Video,3
2427.9,FLOW_24279,8.48,1.77,1,0,Data,1
3307.0,FLOW_33070,23.25,18.52,4,0,Video,3
3555.7,FLOW_35557,14.51,7.48,2,0,Data,1
3718.9,FLOW_37189,2.17,2.3,1,0,Data,1
4714.9,FLOW_47149,81.98,34.04,4,1,Attack,5
4691.5,FLOW_46915,12.67,3.83,1,0,Data,1
980.1,FLOW_9801,6.11,0.74,2,0,Data,1
3880.0,FLOW_38800,5.08,0.5,1,0,Data,1
2466.9,FLOW_24669,39.04,16.31,3,0,Video,3
4423.3,FLOW_44233,59.62,22.71,3,1,Attack,5
3191.9,FLOW_31919,2.83,2.15,2,0,Data,1
713.4,FLOW_7134,3.17,2.22,2,0,Data,1
3370.4,FLOW_33704,14.91,1.53,2,0,Data,1
2966.0,FLOW_29660,10.46,4.97,1,0,Data,1
1789.3,FLOW_17893,24.24,13.35,4,0,Video,3
2201.8,FLOW_22018,11.56,1.22,1,0,Data,1
1353.8,FLOW_13538,5.44,2.57,1,0,VoIP,4
4311.8,FLOW_43118,3.93,2.07,1,0,Data,1
3642.0,FLOW_36420,11.67,5.14,1,0,Data,1
940.5,FLOW_9405,34.4,14.49,3,0,Video,3
1341.3,FLOW_13413,2.37,2.26,1,0,Data,1
672.0,FLOW_6720,37.28,12.59,4,0,Video,3
1560.1,FLOW_15601,3.19,4.76,2,0,Data,1
4474.3,FLOW_44743,2.69,1.6,1,0,Data,1
3113.8,FLOW_31138,28.91,16.54,4,0,Video,3
272.9,FLOW_2729,6.1,3.51,3,0,VoIP,4
3824.2,FLOW_38242,63.47,23.95,3,1,Attack,5
2962.5,FLOW_29625,12.84,2.15,2,0,Data,1
4789.4,FLOW_47894,82.73,34.19,4,1,Attack,5
4209.0,FLOW_42090,6.54,2.99,1,0,Data,1
3639.9,FLOW_36399,6.57,1.51,1,0,Data,1
624.4,FLOW_6244,7.32,1.63,2,0,Data,1
554.5,FLOW_5545,11.98,1.56,1,0,VoIP,4
406.4,FLOW_4064,1.5,2.44,1,0,Data,1
1285.1,FLOW_12851,5.32,2.17,1,0,Data,1
2180.2,FLOW_21802,13.05,2.06,2,0,Data,1
4116.3,FLOW_41163,59.41,22.9,3,1,Attack,5
623.2,FLOW_6232,7.44,2.47,1,0,Data,1
386.2,FLOW_3862,41.11,15.51,3,0,Video,3
3509.4,FLOW_35094,63.57,26.94,3,1,Attack,5
4019.5,FLOW_40195,6.85,4.03,1,0,Data,1
3925.0,FLOW_39250,58.89,22.49,3,1,Attack,5
621.7,FLOW_6217,24.31,5.39,3,0,Data,2
3677.5,FLOW_36775,4.13,1.4,2,0,Data,1
4297.6,FLOW_42976,34.33,12.95,2,1,Attack,5
4846.7,FLOW_48467,8.27,4.06,2,0,Data,1
1483.1,FLOW_14831,3.45,2.98,1,0,Data,1
3009.2,FLOW_30092,10.74,5.82,2,0,Data,1
889.3,FLOW_8893,2.46,1.7,1,0,IoT,1
602.0,FLOW_6020,6.33,2.08,2,0,IoT,1
4608.8,FLOW_46088,87.01,35.44,4,1,Attack,5
1524.2,FLOW_15242,7.67,4.66,1,0,Data,1
4530.7,FLOW_45307,4.41,0.5,1,0,Data,1
2655.0,FLOW_26550,35.47,18.22,4,0,Video,3
603.4,FLOW_6034,3.52,1.95,2,0,Data,1
790.5,FLOW_7905,17.53,14.83,4,0,Data,2
3222.5,FLOW_32225,6.21,2.83,1,0,Data,1
601.7,FLOW_6017,20.82,16.16,4,0,Video,3
2187.9,FLOW_21879,4.75,2.72,1,0,Data,1
279.1,FLOW_2791,44.82,10.4,3,0,Video,3
