timestamp_sec,flow_id,cpu_req,ram_req,msd_req,is_ddos_spike
0.0,FLOW_0,5.13,4.89,2,0
0.1,FLOW_1,9.54,4.44,2,0
0.2,FLOW_2,74.18,48.04,4,1
0.3,FLOW_3,74.55,37.73,4,1
0.4,FLOW_4,69.85,39.16,5,1
0.5,FLOW_5,7.22,2.41,2,0
0.6,FLOW_6,9.27,2.08,2,0
0.7,FLOW_7,19.21,13.75,4,0
0.8,FLOW_8,3.83,3.64,1,0
0.9,FLOW_9,4.8,1.5,2,0
1.0,FLOW_10,8.08,3.24,2,0
1.1,FLOW_11,19.06,9.59,4,0
1.2,FLOW_12,23.57,18.55,4,0
1.3,FLOW_13,8.86,1.31,1,0
1.4,FLOW_14,6.64,3.06,2,0
1.5,FLOW_15,4.7,2.55,2,0
1.6,FLOW_16,9.12,2.89,1,0
1.7,FLOW_17,21.48,14.24,5,0
1.8,FLOW_18,3.96,1.58,2,0
1.9,FLOW_19,8.14,4.33,2,0
2.0,FLOW_20,90.9,36.99,5,1
2.1,FLOW_21,6.38,2.7,1,0
2.2,FLOW_22,5.06,4.42,1,0
2.3,FLOW_23,4.79,1.27,2,0
2.4,FLOW_24,9.22,3.27,1,0
2.5,FLOW_25,17.25,16.03,4,0
2.6,FLOW_26,29.84,9.11,5,0
2.7,FLOW_27,6.66,2.87,1,0
2.8,FLOW_28,5.28,1.46,2,0
2.9,FLOW_29,17.86,9.36,4,0
3.0,FLOW_30,6.93,3.8,1,0
3.1,FLOW_31,9.89,2.92,1,0
3.2,FLOW_32,3.69,2.62,2,0
3.3,FLOW_33,9.38,3.67,1,0
3.4,FLOW_34,28.5,19.02,5,0
3.5,FLOW_35,6.13,2.08,2,0
3.6,FLOW_36,24.96,15.07,4,0
3.7,FLOW_37,3.56,1.05,1,0
3.8,FLOW_38,2.74,3.93,1,0
3.9,FLOW_39,6.73,2.26,2,0
4.0,FLOW_40,5.92,1.81,1,0
4.1,FLOW_41,8.85,3.41,1,0
4.2,FLOW_42,7.33,2.19,1,0
4.3,FLOW_43,24.96,10.79,5,0
4.4,FLOW_44,3.68,3.77,1,0
4.5,FLOW_45,7.31,1.22,2,0
4.6,FLOW_46,16.04,13.47,5,0
4.7,FLOW_47,5.45,2.76,1,0
4.8,FLOW_48,3.69,4.45,2,0
4.9,FLOW_49,9.73,2.29,1,0
5.0,FLOW_50,7.41,1.99,1,0
5.1,FLOW_51,29.16,11.59,4,0
5.2,FLOW_52,16.57,10.93,5,0
5.3,FLOW_53,2.49,3.29,1,0
5.4,FLOW_54,8.68,1.96,1,0
5.5,FLOW_55,5.1,2.3,2,0
5.6,FLOW_56,2.32,4.14,2,0
5.7,FLOW_57,8.43,2.25,2,0
5.8,FLOW_58,6.72,4.33,1,0
5.9,FLOW_59,9.64,2.44,1,0
6.0,FLOW_60,3.57,1.97,1,0
6.1,FLOW_61,7.6,1.54,2,0
6.2,FLOW_62,7.48,3.16,2,0
6.3,FLOW_63,2.08,3.29,2,0
6.4,FLOW_64,20.28,19.9,5,0
6.5,FLOW_65,9.68,1.78,1,0
6.6,FLOW_66,4.28,4.4,2,0
6.7,FLOW_67,7.65,1.22,1,0
6.8,FLOW_68,17.21,9.74,5,0
6.9,FLOW_69,82.65,43.73,5,1
7.0,FLOW_70,8.48,1.75,2,0
7.1,FLOW_71,6.8,2.48,2,0
7.2,FLOW_72,9.34,1.51,2,0
7.3,FLOW_73,17.08,17.05,5,0
7.4,FLOW_74,8.81,4.95,1,0
7.5,FLOW_75,4.39,4.06,1,0
7.6,FLOW_76,92.97,36.46,4,1
7.7,FLOW_77,9.26,2.36,1,0
7.8,FLOW_78,8.95,2.76,1,0
7.9,FLOW_79,3.46,4.04,2,0
8.0,FLOW_80,26.08,9.84,4,0
8.1,FLOW_81,5.59,1.54,1,0
8.2,FLOW_82,8.61,3.48,2,0
8.3,FLOW_83,6.38,2.63,1,0
8.4,FLOW_84,3.97,4.27,1,0
8.5,FLOW_85,20.46,19.11,4,0
8.6,FLOW_86,5.85,2.52,1,0
8.7,FLOW_87,16.35,14.16,5,0
8.8,FLOW_88,5.76,3.27,1,0
8.9,FLOW_89,7.43,3.65,2,0
9.0,FLOW_90,77.8,43.36,5,1
9.1,FLOW_91,8.37,4.56,1,0
9.2,FLOW_92,6.89,3.87,2,0
9.3,FLOW_93,6.51,2.15,2,0
9.4,FLOW_94,8.5,4.23,1,0
9.5,FLOW_95,2.11,3.32,2,0
9.6,FLOW_96,8.74,4.61,1,0
9.7,FLOW_97,7.12,4.61,2,0
9.8,FLOW_98,4.82,2.71,2,0
9.9,FLOW_99,5.08,3.97,2,0
10.0,FLOW_100,4.87,1.59,1,0
10.1,FLOW_101,68.09,38.05,5,1
10.2,FLOW_102,26.16,10.04,4,0
10.3,FLOW_103,66.64,41.2,5,1
10.4,FLOW_104,16.83,14.67,5,0
10.5,FLOW_105,5.8,4.76,2,0
10.6,FLOW_106,7.25,1.22,1,0
10.7,FLOW_107,69.21,37.33,4,1
10.8,FLOW_108,3.41,2.26,1,0
10.9,FLOW_109,3.66,3.84,1,0
11.0,FLOW_110,27.18,12.12,5,0
11.1,FLOW_111,20.27,16.5,4,0
11.2,FLOW_112,4.7,3.93,2,0
11.3,FLOW_113,2.06,1.29,1,0
11.4,FLOW_114,8.27,1.69,1,0
11.5,FLOW_115,6.81,3.87,1,0
11.6,FLOW_116,22.94,15.13,5,0
11.7,FLOW_117,19.97,13.23,4,0
11.8,FLOW_118,71.04,34.13,4,1
11.9,FLOW_119,79.03,48.93,4,1
12.0,FLOW_120,5.52,2.43,1,0
12.1,FLOW_121,94.8,46.86,5,1
12.2,FLOW_122,2.68,2.78,2,0
12.3,FLOW_123,3.64,1.65,1,0
12.4,FLOW_124,81.99,33.88,5,1
12.5,FLOW_125,2.58,1.84,1,0
12.6,FLOW_126,9.02,4.66,2,0
12.7,FLOW_127,4.15,2.35,2,0
12.8,FLOW_128,8.01,4.2,1,0
12.9,FLOW_129,5.07,3.47,1,0
13.0,FLOW_130,8.24,4.21,1,0
13.1,FLOW_131,9.54,4.46,1,0
13.2,FLOW_132,28.14,16.24,4,0
13.3,FLOW_133,19.6,10.7,4,0
13.4,FLOW_134,21.08,8.66,5,0
13.5,FLOW_135,4.19,4.36,2,0
13.6,FLOW_136,9.67,3.46,1,0
13.7,FLOW_137,29.31,15.25,4,0
13.8,FLOW_138,9.48,3.59,1,0
13.9,FLOW_139,2.97,3.73,2,0
14.0,FLOW_140,7.96,4.39,2,0
14.1,FLOW_141,19.77,16.18,4,0
14.2,FLOW_142,8.69,4.7,1,0
14.3,FLOW_143,76.8,41.26,5,1
14.4,FLOW_144,6.79,4.87,2,0
14.5,FLOW_145,5.37,2.59,1,0
14.6,FLOW_146,6.64,1.83,2,0
14.7,FLOW_147,18.81,14.25,5,0
14.8,FLOW_148,78.56,31.64,5,1
14.9,FLOW_149,70.61,36.04,5,1
15.0,FLOW_150,5.53,1.3,1,0
15.1,FLOW_151,3.46,1.56,1,0
15.2,FLOW_152,9.93,2.86,2,0
15.3,FLOW_153,9.64,1.74,1,0
15.4,FLOW_154,8.66,2.61,2,0
15.5,FLOW_155,8.38,4.68,2,0
15.6,FLOW_156,69.34,30.02,5,1
15.7,FLOW_157,5.54,3.18,1,0
15.8,FLOW_158,9.2,1.17,2,0
15.9,FLOW_159,9.73,1.38,1,0
16.0,FLOW_160,4.93,3.98,2,0
16.1,FLOW_161,2.15,3.41,2,0
16.2,FLOW_162,4.32,1.76,1,0
16.3,FLOW_163,2.48,1.43,1,0
16.4,FLOW_164,17.43,14.39,5,0
16.5,FLOW_165,26.66,17.92,5,0
16.6,FLOW_166,4.03,5.0,2,0
16.7,FLOW_167,9.14,2.92,2,0
16.8,FLOW_168,29.36,8.21,5,0
16.9,FLOW_169,5.5,3.75,1,0
17.0,FLOW_170,9.8,4.04,2,0
17.1,FLOW_171,6.77,1.32,2,0
17.2,FLOW_172,23.97,13.66,5,0
17.3,FLOW_173,7.83,3.57,2,0
17.4,FLOW_174,17.23,13.01,5,0
17.5,FLOW_175,7.62,4.59,1,0
17.6,FLOW_176,92.67,33.28,4,1
17.7,FLOW_177,7.54,2.5,1,0
17.8,FLOW_178,5.03,1.28,1,0
17.9,FLOW_179,2.64,1.06,1,0
18.0,FLOW_180,72.45,36.81,4,1
