#{"t_start": 1776486179.9321058, "env_id": "None"}
r,l,t
-1020.383657,100,1.280805
-2184.946676,100,1.583643
-1507.000534,100,1.958958
3568.019886,100,2.451333
-1052.238918,100,2.960162
641.562775,100,3.436153
1883.076702,100,3.905491
300.048674,100,4.555081
-461.936256,100,5.193835
947.189846,100,5.766333
2428.504478,100,6.395533
1546.7715,100,7.023034
-3315.979592,100,7.736834
-717.145086,100,8.575272
-1376.010944,100,9.226358
423.369053,100,9.850016
85.036531,100,10.475912
879.518162,100,11.089612
-77.583935,100,11.694361
579.065365,100,12.254306
321.613228,100,49.357996
1276.358828,100,49.847882
1691.524124,100,50.399674
1798.183912,100,51.882476
1479.416187,100,52.695137
1293.366449,100,53.626658
444.472355,100,54.529363
-3197.982534,100,56.165637
763.758396,100,57.200308
522.163357,100,59.743593
-803.10603,100,61.192052
906.545609,100,61.66584
151.478752,100,62.5442
2778.006115,100,63.560419
3442.918657,100,64.792571
438.973717,100,65.460798
-221.324669,100,66.104385
734.610558,100,66.72166
-1863.566868,100,67.36724
1789.572075,100,68.175543
1261.814686,100,91.312205
-591.266438,100,92.009843
528.956596,100,92.644737
271.844409,100,93.277641
-558.735909,100,93.914444
1134.21133,100,94.549908
-1421.082961,100,94.885944
1069.505997,100,95.212378
1311.79545,100,95.594959
-1006.320358,100,95.959806
869.447872,100,96.290999
2419.695255,100,96.612397
-3019.704484,100,96.932473
2879.836784,100,97.267229
2609.482334,100,97.631654
1981.590988,100,98.324446
1638.004417,100,98.633865
2047.099676,100,99.016223
-2777.626663,100,99.375424
867.180279,100,99.713415
443.123386,100,100.130506
2243.778986,100,130.421894
1462.475456,100,131.087166
3795.790588,100,131.733363
307.610065,100,132.625619
2132.213365,100,133.383252
-683.144772,100,134.079957
1066.256062,100,134.761828
1231.834139,100,135.452105
-920.464878,100,136.148652
1231.853907,100,136.863257
1555.227551,100,137.681597
2957.600546,100,138.134621
524.058144,100,138.637658
-826.046234,100,139.096895
2312.548927,100,139.680945
-888.205984,100,140.095937
542.543489,100,140.459362
439.890812,100,140.797915
-660.734478,100,141.131871
-1775.980927,100,141.464455
1597.780064,100,168.589876
733.783556,100,169.295868
80.126003,100,169.939166
2680.354813,100,170.5623
-329.257547,100,171.202421
361.561924,100,171.809814
2387.83934,100,172.451428
-166.328735,100,173.079814
59.68541,100,173.702126
3279.129086,100,174.346855
1828.975872,100,174.968735
628.86832,100,175.590216
-1070.539786,100,176.258712
318.006199,100,176.896358
1547.191208,100,177.591799
3014.041071,100,178.329011
3153.961346,100,178.955564
1057.650511,100,179.623185
-242.979683,100,180.249205
1968.109852,100,180.877311
598.62137,100,181.629806
339.130369,100,211.645169
-1609.031918,100,212.07511
-340.5462,100,212.432628
492.417181,100,212.789902
1509.703125,100,213.142033
898.101013,100,213.481709
-173.769095,100,213.869182
2496.550201,100,214.31099
212.071127,100,214.73409
25.542194,100,215.167056
1453.929501,100,215.746078
-487.152874,100,216.320876
545.927004,100,216.991158
3488.614223,100,218.371474
1851.756981,100,219.056926
993.717491,100,219.73327
1332.502911,100,220.417332
2232.645901,100,221.061843
1549.904842,100,221.750414
2017.316212,100,222.388622
-2091.266619,100,251.421398
1611.716408,100,252.079729
258.000202,100,252.810354
2592.433803,100,253.477788
1311.853844,100,254.104954
1666.124477,100,254.536433
1767.318771,100,254.877285
2206.29948,100,255.245785
593.493587,100,255.918406
1517.633694,100,256.953093
845.362679,100,258.467961
876.707329,100,259.212729
1439.276268,100,259.88947
1515.413593,100,260.533537
34.137096,100,261.262381
2099.431763,100,261.974561
2803.483301,100,262.817786
213.364594,100,263.572333
1930.566399,100,264.348536
3072.387238,100,265.048558
1962.644974,100,265.565522
1744.828072,100,297.132589
-1254.68503,100,297.853225
1337.157722,100,298.5026
1068.215597,100,299.086031
-86.303366,100,299.623929
-84.790236,100,300.531337
1428.275303,100,301.221191
-1555.248886,100,301.837569
-725.931301,100,302.486042
2986.010223,100,303.086169
1834.918886,100,303.666425
351.944164,100,304.72616
3281.299547,100,305.640589
2128.807632,100,306.282149
1611.178156,100,307.924369
-2147.293247,100,308.30274
1968.475414,100,308.775137
598.61924,100,309.3809
2448.733711,100,310.021735
54.708868,100,310.617527
3229.84034,100,334.541497
32.552441,100,335.188735
1980.787201,100,335.797659
2858.54076,100,336.37819
1901.638206,100,336.942672
2384.887135,100,337.534411
-906.917949,100,338.116556
1910.40443,100,338.70513
2183.737446,100,339.275971
936.497742,100,339.859427
2189.514681,100,340.44007
2768.501884,100,341.013126
2258.581178,100,342.067255
644.801973,100,342.658831
2703.126427,100,343.254887
695.670639,100,343.852243
702.995552,100,344.439082
2201.085693,100,345.007302
-1011.784164,100,345.60329
1213.48909,100,346.016532
2840.908676,100,346.301796
1061.36507,100,370.654642
433.334137,100,371.241468
633.814642,100,371.807543
2416.138137,100,372.365123
1677.036762,100,372.92522
1631.614429,100,373.539729
3305.396023,100,374.265594
3417.110889,100,374.849206
-174.691883,100,375.437283
1803.96965,100,376.021152
34.015434,100,376.594513
1309.930508,100,377.160628
2371.140633,100,377.743195
-3055.939456,100,378.320222
2192.737022,100,378.921206
146.295191,100,379.484916
2302.66898,100,380.053803
147.559078,100,380.650082
3108.199108,100,381.066222
1627.964128,100,381.368237
2596.287846,100,404.263931
518.158867,100,405.413818
1348.060328,100,406.508864
630.677052,100,407.222125
1665.97537,100,408.02144
2396.94722,100,408.943085
1423.524197,100,409.425669
2145.237789,100,409.807303
293.342381,100,410.252908
-176.971279,100,410.987942
1968.689293,100,411.596434
1680.429869,100,412.198424
1236.464176,100,412.79475
2265.79977,100,413.393355
-166.880939,100,413.986355
1051.265427,100,414.562922
1986.426064,100,415.16122
1806.893194,100,415.639874
1301.936314,100,415.965942
3469.610191,100,416.264917
2084.876976,100,416.550876
2453.532093,100,438.258948
2270.48539,100,438.865433
1741.458782,100,439.45756
33.031967,100,440.040216
2411.034313,100,440.628295
3181.355053,100,441.224847
267.846272,100,441.821057
3600.59726,100,442.390259
-705.88286,100,442.958303
416.178616,100,443.542485
1581.769241,100,444.135906
491.610825,100,444.737216
1584.859158,100,445.297583
3906.334072,100,445.867667
1086.353539,100,446.723557
2705.784531,100,447.012529
1813.78266,100,447.611984
2048.536324,100,448.381784
224.124065,100,449.092608
758.87442,100,449.509516
2675.789364,100,471.977042
1283.615337,100,472.573514
3663.860214,100,473.156958
119.238638,100,473.726796
2652.370659,100,474.32362
2692.732136,100,474.89227
2523.906948,100,475.455861
2024.869801,100,476.028088
2386.078644,100,476.597562
2237.997314,100,477.176313
2013.238811,100,477.794149
598.908791,100,478.463479
2583.299992,100,479.058081
160.084232,100,479.673866
3030.672308,100,480.267163
3158.10981,100,480.855225
337.843254,100,481.456318
2767.357426,100,482.037248
1059.044441,100,482.646775
2983.962227,100,483.23507
2532.039055,100,483.818578
2437.738155,100,508.913728
521.597191,100,509.499544
2125.469612,100,510.088122
-729.13603,100,510.666046
