#{"t_start": 1776330008.736752, "env_id": "None"}
r,l,t
-4886.739983,100,1.716008
-8032.209965,100,2.026445
-5131.69997,100,2.418107
-6182.289955,100,2.961492
-3950.379959,100,3.394845
-4502.60997,100,4.114555
-7431.029968,100,4.409894
-5634.549976,100,4.886767
-5574.38998,100,5.084306
-5467.199978,100,5.314733
-9683.769989,100,6.066583
-6039.679974,100,6.424942
-4275.929958,100,6.82606
-6749.049965,100,7.170216
-6969.919964,100,7.505455
-4567.859962,100,7.829359
-9462.339966,100,8.074521
-6859.849976,100,8.240782
-6938.91996,100,8.440839
-5783.169964,100,8.618786
-6174.619965,100,13.149707
-6407.899963,100,13.71827
-6126.569969,100,14.346471
-6354.119953,100,14.554447
-6769.009983,100,14.754364
-5545.229969,100,15.055197
-5148.769966,100,15.337966
-7461.569969,100,15.712985
-4294.41996,100,16.142105
-5224.869968,100,16.428873
-7463.939964,100,16.943054
-5935.539959,100,17.47017
-4371.579956,100,17.974818
-4864.289963,100,18.33461
-5573.48996,100,18.677319
-5833.839962,100,19.061417
-5129.319973,100,19.416868
-5994.469967,100,19.778084
-5974.119953,100,20.16655
-7915.039955,100,20.556593
-4999.729973,100,26.173554
-5650.519962,100,26.509206
-8396.279984,100,26.868653
-6516.039967,100,27.247333
-8776.679989,100,27.534438
-5605.649967,100,27.73773
-5508.389961,100,27.987396
-5115.849968,100,28.232208
-6804.44997,100,28.437569
-4918.919952,100,28.782157
-6305.68998,100,29.25284
-7516.249962,100,29.692126
-7067.22998,100,30.051104
-5387.819965,100,30.396509
-6689.939968,100,30.753173
-5528.759972,100,31.091559
-5715.539963,100,31.616323
-5638.519978,100,32.110688
-6804.309963,100,32.435485
-6898.819969,100,32.65178
-4130.239952,100,32.871476
-7136.799976,100,37.806684
-7070.239971,100,38.459084
-7240.379978,100,38.82189
-6530.219967,100,39.431273
-7732.779968,100,39.74469
-7892.879963,100,40.049218
-5226.649967,100,40.35333
-4381.599964,100,40.654641
-5007.589966,100,40.970243
-4301.349972,100,41.272043
-6150.919956,100,41.610806
-6369.319973,100,41.913642
-3659.819954,100,42.206728
-5806.939972,100,42.737573
-6402.129974,100,42.909025
-6326.999962,100,43.1352
-5035.379963,100,43.447855
-6956.659985,100,43.752857
-6431.549984,100,44.051419
-7966.099972,100,44.352725
-5352.859962,100,48.933507
-6828.419964,100,49.218201
-6399.259972,100,49.499561
-5263.279968,100,49.897918
-6698.059967,100,50.219893
-4682.949966,100,50.530549
-5090.979961,100,50.858409
-8203.109959,100,51.174134
-6120.119972,100,51.502392
-5656.309975,100,51.855839
-5497.739964,100,52.188705
-6394.349972,100,52.548406
-4766.339954,100,53.078001
-6138.899967,100,53.473836
-5251.00996,100,54.009465
-6099.199974,100,54.352867
-7405.14996,100,54.79171
-7070.08997,100,55.143661
-3439.829964,100,55.7105
-6008.139965,100,59.659234
-5483.879967,100,59.986523
-5656.769958,100,65.367337
-6026.039959,100,65.689135
-5888.109962,100,66.29704
-5331.889961,100,66.654157
-4131.869965,100,67.007796
-4764.099964,100,67.374038
-7838.91996,100,67.703735
-4223.659962,100,68.100147
-6105.759972,100,68.479841
-5881.109959,100,68.840611
-5799.929962,100,69.189247
-4341.999966,100,69.570221
-5015.279961,100,69.962683
-4167.82996,100,70.346177
-6391.189968,100,70.755864
-3717.099964,100,71.093338
-3892.209953,100,71.424215
-4967.60997,100,71.799185
-7155.309975,100,72.165158
-6150.809956,100,72.519034
-6014.919971,100,77.207262
-5853.739975,100,77.411759
-5095.339962,100,77.630661
-6750.239971,100,77.833084
-5015.119968,100,78.091302
-5172.73996,100,79.150124
-5966.899963,100,79.562773
-5116.709949,100,80.024001
-4621.789955,100,80.686067
-6425.669968,100,81.180809
-6467.409969,100,81.64483
-8189.649963,100,82.204188
-8122.279961,100,82.437674
-5482.989964,100,82.870114
-7297.979965,100,83.100207
-7921.319969,100,83.399799
-5283.519974,100,83.738298
-5796.459972,100,84.080791
-7735.339973,100,84.43679
-5337.809971,100,84.621791
-6267.369972,100,84.832809
-6034.379974,100,88.24259
-5108.409958,100,88.441028
-5427.389961,100,88.678693
-6026.919956,100,89.243391
-5074.83997,100,89.806138
-4535.139957,100,90.090465
-6452.65995,100,90.370566
-5641.329964,100,90.759874
-4546.299961,100,91.097914
-6481.529964,100,91.422068
-7228.069973,100,91.745513
-7809.839966,100,92.069757
-5882.149963,100,92.459068
-4825.889961,100,92.851524
-6493.689968,100,93.285943
-4515.459965,100,93.635206
-6107.879971,100,93.974165
-5893.219978,100,94.323096
-5532.739967,100,94.678691
-6148.129978,100,95.002493
-6096.299965,100,99.617188
-4345.659966,100,99.794985
-5928.809967,100,99.973883
-4612.069958,100,100.150672
-7374.07996,100,100.55919
-6412.879978,100,100.855697
-5188.959961,100,101.147169
-7481.529972,100,101.35789
-4980.48996,100,101.601367
-5060.599968,100,101.823671
-6302.139969,100,102.038274
-4568.449963,100,102.421158
-5858.119968,100,102.816637
-5994.049969,100,103.222509
-4144.73996,100,103.620768
-7269.819958,100,103.99979
-5954.379967,100,104.334222
-6570.749977,100,104.651835
-5211.799961,100,104.927609
-3883.459965,100,105.126428
-6810.599972,100,105.33449
-5548.529949,100,110.561253
-5526.359962,100,110.771104
-4531.53997,100,110.92907
-4794.669968,100,111.116455
-6358.899963,100,111.305622
-7055.679955,100,111.489235
-5287.869953,100,111.67662
-5036.799965,100,111.970362
-6766.049973,100,112.329989
-6788.169979,100,112.68139
-4084.309959,100,113.074869
-6747.649956,100,113.505178
-6472.529976,100,113.863624
-7690.789974,100,114.178378
-6288.579964,100,114.494275
-6232.949986,100,114.81
-4458.039974,100,118.61103
-6143.16996,100,118.915916
-7090.699966,100,119.221627
-7295.069973,100,119.55047
-6039.529964,100,126.424229
-3920.859951,100,126.65906
-3777.149971,100,126.915057
-4526.309963,100,127.198785
-6692.959972,100,127.425376
-7877.899956,100,127.634048
-5952.349972,100,127.887237
-5412.809963,100,128.325767
-4645.179962,100,128.654112
-6510.619965,100,129.034772
-6373.449966,100,129.371762
-4754.119972,100,129.589992
-5981.139973,100,129.814193
-6261.029961,100,130.155363
-5342.98996,100,130.692472
-6775.739971,100,130.938261
-6139.999966,100,131.164006
-7073.759975,100,131.403917
-3829.459965,100,131.613599
-4532.759968,100,131.813799
-6586.83997,100,132.01348
-4706.059963,100,137.090449
-4995.689964,100,137.292452
-4385.749966,100,137.468776
-5024.809956,100,137.661687
-4810.239964,100,137.894776
-5793.19997,100,138.090724
-4276.039959,100,138.34552
-6131.829964,100,138.66721
-4593.729965,100,138.953594
-7270.539959,100,139.229616
-7485.109974,100,139.418767
-6476.23996,100,139.626136
-5685.239967,100,139.834759
-4920.239979,100,140.052078
-5063.349976,100,140.300444
-6798.189972,100,140.501605
-6745.909966,100,140.751658
-7729.839966,100,141.191972
-6847.929974,100,141.382261
-4590.079964,100,141.57672
-6115.469971,100,145.049441
-4351.389969,100,145.234684
-4378.629971,100,145.436927
-4872.029961,100,145.701775
-5702.219952,100,145.914374
-6372.36998,100,146.110548
-4137.969967,100,146.31074
-5364.159958,100,146.521942
-5096.109974,100,146.722461
-5375.789963,100,146.939054
-7901.579975,100,147.131517
-6596.08997,100,147.372965
-4972.449966,100,147.595356
-5231.409958,100,147.823821
-5424.749969,100,148.028923
-6217.069958,100,148.23818
-5988.769981,100,148.465894
-5082.409973,100,148.678767
-5109.67997,100,148.901559
-7381.559971,100,149.114485
-5374.499966,100,149.332571
-5875.029957,100,154.03542
-5498.759964,100,154.325911
-4389.60997,100,154.524469
-5305.259964,100,154.727299
-9658.439968,100,154.956638
-7030.599976,100,155.315519
-6625.149952,100,155.660881
-4622.299965,100,156.007603
-4998.209957,100,156.361865
-5553.529976,100,156.805915
-5703.509964,100,157.142072
-3379.639965,100,157.498727
-3190.59996,100,157.719049
-4551.879955,100,157.920291
-5832.379963,100,158.119706
-5301.769966,100,158.326638
-4712.479969,100,158.526562
-7703.229958,100,158.731828
-5759.439972,100,158.969752
-7029.919975,100,159.214624
-5400.329971,100,162.676465
-4449.049961,100,162.95701
-6406.92997,100,163.500286
-5461.969967,100,163.901413
-6554.919971,100,164.233313
-6918.729977,100,164.556926
-5194.789963,100,164.889801
-4968.069962,100,165.147095
-6479.679974,100,165.506253
-4599.619968,100,165.871352
-6825.969975,100,166.243057
-4682.469971,100,166.568333
-4444.979958,100,167.2916
-4559.619976,100,168.285053
-3170.919968,100,173.313164
-6063.719971,100,173.518773
-7443.18998,100,173.886516
-6522.699966,100,174.268401
-5224.59996,100,174.491702
-6755.489971,100,174.715543
-7441.69997,100,175.103873
-5159.269958,100,179.277413
-7447.059971,100,179.799757
-4518.549969,100,180.202807
-5327.359962,100,180.522205
-4083.329956,100,180.773865
-6347.729969,100,181.007137
-6565.03997,100,181.271365
-5866.999962,100,181.483166
-6904.52998,100,181.689033
-6015.899956,100,181.914685
-4304.759956,100,182.14869
-5550.209965,100,182.552008
-5939.519966,100,182.976331
-7028.239971,100,183.522695
-7283.599964,100,183.880823
-5523.199963,100,184.141771
-4581.319962,100,184.589468
-6363.019981,100,185.320629
-3384.369961,100,185.741294
-5339.009968,100,186.167148
-4969.249966,100,191.917186
-4257.129967,100,192.16609
-5776.559971,100,192.384048
-6789.599972,100,192.616881
-5096.719948,100,192.899762
-5760.079971,100,193.168211
-6308.389954,100,193.750906
-6609.209972,100,194.305741
-6804.629967,100,194.815541
-5236.619968,100,195.240119
-5302.969963,100,195.578577
-5683.83997,100,196.187932
-5767.669964,100,196.51019
-4319.719959,100,196.832876
-8083.939949,100,197.157193
-6071.839962,100,197.491765
-7795.729977,100,197.883362
-5926.75996,100,198.236151
-4625.759968,100,198.563567
-4971.259964,100,199.100243
-5227.299961,100,199.434067
-4466.44997,100,204.099489
-6075.759953,100,204.460189
-4833.329971,100,204.808055
-5567.439964,100,205.136556
-5049.059959,100,205.454083
-5864.44997,100,205.769563
-4120.69997,100,206.093813
-5577.269962,100,206.433083
-7377.449966,100,206.786038
-4272.619961,100,207.422585
-4912.909969,100,207.747239
-6595.509968,100,208.145695
-4064.939972,100,208.344447
-6666.25996,100,208.544185
-6974.619976,100,208.743822
-7184.059975,100,208.939764
-5946.129963,100,209.142673
-6766.879971,100,209.357711
-5960.859966,100,209.571461
-6685.659966,100,209.770225
-7214.789974,100,216.601871
-5356.859966,100,216.928896
-5873.709969,100,217.265187
-6335.209961,100,217.59986
-5309.069962,100,217.962094
-7565.949963,100,218.405677
-5433.379971,100,218.830125
-6258.879971,100,219.164361
-4675.369949,100,219.588305
-8152.859974,100,219.920939
-5126.469967,100,220.253
-6302.18996,100,220.595127
-3804.609962,100,220.965082
-6872.319969,100,221.330936
-5488.83997,100,221.667024
-7792.22998,100,222.012728
-5931.849964,100,222.395252
-3809.539963,100,222.873089
-5245.449963,100,223.607779
-5896.14996,100,224.05377
-5241.119961,100,224.461811
-2752.939957,100,229.669692
-5825.569969,100,230.011244
-5448.559971,100,230.370534
-4719.479965,100,230.69474
-8525.189968,100,231.016382
-5626.569973,100,231.352737
-6485.369968,100,231.789485
-6184.379963,100,232.112402
-6820.339973,100,232.448035
-5550.459969,100,232.900482
-5327.349964,100,233.188107
-4679.709957,100,236.478762
-3718.419968,100,236.818493
-8222.449978,100,237.331105
-4145.799969,100,237.655844
-6313.139961,100,238.004451
-4673.479958,100,238.398584
-4496.06995,100,238.726052
-4607.259956,100,239.064131
-7140.659962,100,239.402854
-4918.889965,100,243.765073
-6913.26997,100,244.077554
-4328.41996,100,244.394699
-6458.799973,100,244.615859
-6122.259964,100,244.836138
-6690.069965,100,245.079204
-4837.56995,100,245.336254
-6995.359962,100,245.695193
-6495.979973,100,245.954772
-5248.44997,100,246.226554
-5686.049961,100,246.543427
-4963.479958,100,247.003486
-6056.289951,100,247.366645
-4528.44997,100,247.564144
-5513.369957,100,247.770931
-5228.069954,100,247.963873
-7635.479961,100,248.164443
-5325.189964,100,248.432393
-5983.509975,100,248.648394
-4715.279961,100,248.851453
-8136.709984,100,249.061177
-6277.979961,100,252.762225
-5320.719967,100,253.051244
-5589.729973,100,253.290943
-3745.639965,100,253.553281
-7291.719963,100,253.770257
-5460.829964,100,253.967522
-5206.28997,100,254.149661
-6165.049969,100,254.409258
-6430.189964,100,254.655263
-5268.209965,100,254.864772
-4955.16996,100,255.059234
-3639.469963,100,255.286066
-3029.379959,100,255.547476
-6905.189976,100,255.831867
-4979.979961,100,256.511093
-5309.579967,100,257.255369
-5623.699966,100,257.56479
-4393.929966,100,257.791516
-6605.509972,100,258.513906
-5633.559967,100,258.887925
-7227.179974,100,263.73168
-4722.959972,100,263.939411
-4926.929962,100,264.132302
-4812.029964,100,264.344407
-5771.709965,100,264.556024
-7665.79998,100,264.927268
-4415.149967,100,265.169548
-5445.759968,100,265.395401
-5572.729969,100,265.606661
-4076.209961,100,265.821905
-4227.57996,100,266.023541
-4030.019958,100,266.223572
-5829.299976,100,266.432995
-6577.029972,100,266.659347
-4980.959961,100,266.915171
-5453.049976,100,267.125452
-5004.349964,100,267.327169
-4736.889969,100,267.513339
-6099.869972,100,267.709882
-5271.209972,100,267.931028
-5918.329975,100,268.149048
-7635.379971,100,272.569124
-5284.369968,100,272.802482
-6185.869957,100,273.065743
-4705.789967,100,273.419746
-4685.529972,100,273.630616
-5067.25996,100,273.90986
-4592.029976,100,274.265692
-7525.089954,100,274.643108
-5469.379974,100,274.958544
-6517.889973,100,275.286379
-6306.859951,100,275.579988
-6211.679962,100,275.867063
-5311.379963,100,276.231253
-5767.579956,100,276.580712
-5341.929974,100,276.965326
-6182.359966,100,277.338856
-6927.999966,100,277.524871
-6204.569962,100,277.716653
-5332.089973,100,277.906245
