duration,protocol,src_bytes,dst_bytes,count,label
0.01,1,120,240,5,normal
0.01,1,120,240,5,normal
0.01,1,120,240,5,normal
0.01,1,120,240,5,normal
0.01,1,120,240,5,normal
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
5.5,1,9500,8800,500,attack_ddos
0.02,1,110,250,4,normal
0.02,1,110,250,4,normal
0.02,1,110,250,4,normal
0.02,1,110,250,4,normal
0.02,1,110,250,4,normal
